 Scientific name	Common name	PlantQID	NativeRange	PlaceQID	Lat1	Long1							
Nepenthes mirabilis	common swamp pitcher-plant	Q150525	Myanmar	Q836	17.1750495	95.9999652							
Nepenthes mirabilis	common swamp pitcher-plant	Q150525	Louisiade Archipelago	Q1127200	-11.2	153							
Nepenthes mirabilis	common swamp pitcher-plant	Q150525	China	Q148	35.000074	104.999927							
Nepenthes mirabilis	common swamp pitcher-plant	Q150525	Caroline Islands	Q118350	8	147							
Nepenthes distillatoria		Q4247254	Sri Lanka	Q854	7.5554942	80.7137847							
Nepenthes pervillei		Q142936	Seychelles	Q1042	-4.6574977	55.4540146							
Nepenthes biak		Q55390208	Schouten Islands	Q1424581	-3.22107555	144.0993097							
Nepenthes vieillardii		Q150566	New Caledonia	Q33788	-20.4542886	164.5566058							
Nepenthes khasiana		Q144311	India	Q668	22.3511148	78.6677428							
Nepenthes mirabilis	common swamp pitcher-plant	Q150525	Laos	Q819	20.0171109	103.378253							
Nepenthes smilesii		Q4912563	Laos	Q819	20.0171109	103.378253							
Nepenthes madagascariensis		Q139507	Madagascar	Q1019	-18.9249604	46.4416422							
Nepenthes masoalensis		Q5474329	Madagascar	Q1019	-18.9249604	46.4416422							
Nepenthes ampullaria		Q134453	Singapore	Q334	1.357107	103.8194992							
Nepenthes rafflesiana	Raffles' pitcher-plant	Q138821	Singapore	Q334	1.357107	103.8194992							
Nepenthes gracilis	slender pitcher-plant	Q150492	Singapore	Q334	1.357107	103.8194992							
Nepenthes spathulata		Q140953	Java	Q3757	-7.3281445	109.6140549							
Nepenthes mirabilis	common swamp pitcher-plant	Q150525	Java	Q3757	-7.3281445	109.6140549							
Nepenthes gymnamphora		Q4189835	Java	Q3757	-7.3281445	109.6140549							
Nepenthes neoguineensis		Q293242	D'Entrecasteaux Islands	Q855297	-9.52421065	150.7065343							
Nepenthes mirabilis	common swamp pitcher-plant	Q150525	D'Entrecasteaux Islands	Q855297	-9.52421065	150.7065343							
Nepenthes maxima	great pitcher-plant	Q139550	D'Entrecasteaux Islands	Q855297	-9.52421065	150.7065343							
Nepenthes sp. Misool		Q11228421	Raja Ampat Islands	Q15088317	-1.1509774	129.8274578							
Nepenthes treubiana		Q4911864	Raja Ampat Islands	Q15088317	-1.1509774	129.8274578							
Nepenthes neoguineensis		Q293242	Raja Ampat Islands	Q15088317	-1.1509774	129.8274578							
Nepenthes danseri		Q4911786	Raja Ampat Islands	Q15088317	-1.1509774	129.8274578							
Nepenthes thorelii		Q4925451	Vietnam	Q881	13.2904027	108.4265113							
Nepenthes smilesii		Q4912563	Vietnam	Q881	13.2904027	108.4265113							
Nepenthes mirabilis	common swamp pitcher-plant	Q150525	Vietnam	Q881	13.2904027	108.4265113							
Nepenthes kampotiana		Q6994711	Vietnam	Q881	13.2904027	108.4265113							
Nepenthes mirabilis	common swamp pitcher-plant	Q150525	Australia	Q408	-24.7761086	134.755							
Nepenthes parvula		Q28184795	Australia	Q408	-24.7761086	134.755							
Nepenthes rowaniae		Q11212877	Australia	Q408	-24.7761086	134.755							
Nepenthes tenax		Q4911897	Australia	Q408	-24.7761086	134.755							
Nepenthes mirabilis	common swamp pitcher-plant	Q150525	Maluku Islands	Q3827	-3.4591432	126.6562293							
Nepenthes ampullaria		Q134453	Maluku Islands	Q3827	-3.4591432	126.6562293							
Nepenthes maxima	great pitcher-plant	Q139550	Maluku Islands	Q3827	-3.4591432	126.6562293							
Nepenthes halmahera		Q21815230	Maluku Islands	Q3827	-3.4591432	126.6562293							
Nepenthes weda		Q21815234	Maluku Islands	Q3827	-3.4591432	126.6562293							
Nepenthes mirabilis	common swamp pitcher-plant	Q150525	Cambodia	Q424	13.5066394	104.869423							
Nepenthes gracilis	slender pitcher-plant	Q150492	Cambodia	Q424	13.5066394	104.869423							
Nepenthes smilesii		Q4912563	Cambodia	Q424	13.5066394	104.869423							
Nepenthes kampotiana		Q6994711	Cambodia	Q424	13.5066394	104.869423							
Nepenthes holdenii		Q4246948	Cambodia	Q424	13.5066394	104.869423							
Nepenthes bokorensis		Q9287208	Cambodia	Q424	13.5066394	104.869423							
Nepenthes ampullaria		Q134453	New Guinea	Q40285	-5.52259305	142.0870905							
Nepenthes maxima	great pitcher-plant	Q139550	New Guinea	Q40285	-5.52259305	142.0870905							
Nepenthes mirabilis	common swamp pitcher-plant	Q150525	New Guinea	Q40285	-5.52259305	142.0870905							
Nepenthes insignis		Q5460388	New Guinea	Q40285	-5.52259305	142.0870905							
Nepenthes klossii		Q5460392	New Guinea	Q40285	-5.52259305	142.0870905							
Nepenthes lamii		Q5237767	New Guinea	Q40285	-5.52259305	142.0870905							
Nepenthes monticola		Q13652517	New Guinea	Q40285	-5.52259305	142.0870905							
Nepenthes neoguineensis		Q293242	New Guinea	Q40285	-5.52259305	142.0870905							
Nepenthes paniculata		Q4912014	New Guinea	Q40285	-5.52259305	142.0870905							
Nepenthes papuana		Q147595	New Guinea	Q40285	-5.52259305	142.0870905							
Nepenthes treubiana		Q4911864	New Guinea	Q40285	-5.52259305	142.0870905							
Nepenthes ampullaria		Q134453	Thailand	Q869	14.8971921	100.83273							
Nepenthes andamana		Q4045227	Thailand	Q869	14.8971921	100.83273							
Nepenthes chang		Q4247027	Thailand	Q869	14.8971921	100.83273							
